=== Session metadata ===
{
  "consent_name": "Ahmad",
  "consent_ts": "2025-10-29 12:59:28.462913  UTC",
2025-10-29 12:59:35.476153  UTC — 7 (keysym=7) 
2025-10-29 12:59:35.591598  UTC — [REDACTED] (keysym=t) AUTO-REDACTED
2025-10-29 12:59:35.726297  UTC — [REDACTED] (keysym=o) AUTO-REDACTED
2025-10-29 12:59:35.786356  UTC — [REDACTED] (keysym=6) AUTO-REDACTED
2025-10-29 12:59:35.846731  UTC — [REDACTED] (keysym=r) AUTO-REDACTED
2025-10-29 12:59:36.004358  UTC — [REDACTED] (keysym=5) AUTO-REDACTED
2025-10-29 12:59:36.068386  UTC — [REDACTED] (keysym=7) AUTO-REDACTED
2025-10-29 12:59:36.158828  UTC — [REDACTED] (keysym=4) AUTO-REDACTED
2025-10-29 12:59:36.308622  UTC — [REDACTED] (keysym=7) AUTO-REDACTED
2025-10-29 12:59:36.313616  UTC — [REDACTED] (keysym=6) AUTO-REDACTED
2025-10-29 12:59:36.535170  UTC — [REDACTED] (keysym=i) AUTO-REDACTED
2025-10-29 12:59:36.704804  UTC — [REDACTED] (keysym=space) AUTO-REDACTED
2025-10-29 12:59:36.794895  UTC — [REDACTED] (keysym=o) AUTO-REDACTED
2025-10-29 12:59:36.919052  UTC — 8 (keysym=8) 
2025-10-29 12:59:36.937328  UTC — y (keysym=y) 
2025-10-29 12:59:37.132502  UTC — 8 (keysym=8) 
2025-10-29 12:59:37.180548  UTC — 7 (keysym=7) 
2025-10-29 12:59:37.343661  UTC — 6 (keysym=6) 
2025-10-29 12:59:37.458659  UTC — [REDACTED] (keysym=8) AUTO-REDACTED
2025-10-29 12:59:37.615744  UTC — [REDACTED] (keysym=5) AUTO-REDACTED
2025-10-29 12:59:37.663917  UTC — [REDACTED] (keysym=r) AUTO-REDACTED
2025-10-29 12:59:37.685741  UTC — [REDACTED] (keysym=space) AUTO-REDACTED
2025-10-29 12:59:37.755417  UTC — [REDACTED] (keysym=7) AUTO-REDACTED
2025-10-29 12:59:37.758431  UTC — 6 (keysym=6) 
2025-10-29 12:59:37.887351  UTC — r (keysym=r) 
2025-10-29 12:59:38.007347  UTC — 7 (keysym=7) 
2025-10-29 12:59:38.012452  UTC — 5 (keysym=5) 
2025-10-29 12:59:38.176125  UTC —   (keysym=space) 
2025-10-29 12:59:38.180124  UTC — e (keysym=e) 
2025-10-29 12:59:38.495882  UTC —   (keysym=space) 
2025-10-29 12:59:38.575870  UTC — m (keysym=m) 
2025-10-29 12:59:38.720041  UTC — b (keysym=b) 
2025-10-29 12:59:38.753373  UTC — b (keysym=b) 
2025-10-29 12:59:38.907254  UTC —   (keysym=space) 
2025-10-29 12:59:38.982971  UTC — u (keysym=u) 
2025-10-29 12:59:39.001971  UTC — 6 (keysym=6) 
2025-10-29 12:59:39.051419  UTC — 5 (keysym=5) 
2025-10-29 12:59:43.716649  UTC — [MASKED] (keysym=n) MANUAL-MASK
2025-10-29 12:59:43.819349  UTC — [MASKED] (keysym=space) MANUAL-MASK
2025-10-29 12:59:43.858251  UTC — [MASKED] (keysym=b) MANUAL-MASK
2025-10-29 12:59:44.084685  UTC — [MASKED] (keysym=y) MANUAL-MASK
2025-10-29 12:59:44.089766  UTC — [MASKED] (keysym=space) MANUAL-MASK
2025-10-29 12:59:44.193591  UTC — [MASKED] (keysym=t) MANUAL-MASK
2025-10-29 12:59:44.310547  UTC — [MASKED] (keysym=8) MANUAL-MASK
2025-10-29 12:59:44.340091  UTC — [MASKED] (keysym=6) MANUAL-MASK
2025-10-29 12:59:44.516137  UTC — [MASKED] (keysym=5) MANUAL-MASK
2025-10-29 12:59:44.601245  UTC — [MASKED] (keysym=space) MANUAL-MASK
2025-10-29 12:59:44.631747  UTC — [MASKED] (keysym=7) MANUAL-MASK
2025-10-29 12:59:44.696388  UTC — [MASKED] (keysym=6) MANUAL-MASK
2025-10-29 12:59:44.803889  UTC — [MASKED] (keysym=r) MANUAL-MASK
2025-10-29 12:59:44.907025  UTC — [MASKED] (keysym=7) MANUAL-MASK
2025-10-29 12:59:44.913034  UTC — [MASKED] (keysym=6) MANUAL-MASK
2025-10-29 12:59:44.958825  UTC — [MASKED] (keysym=o) MANUAL-MASK
2025-10-29 12:59:45.166761  UTC — [MASKED] (keysym=o) MANUAL-MASK
2025-10-29 12:59:45.230796  UTC — [MASKED] (keysym=i) MANUAL-MASK
2025-10-29 12:59:45.356768  UTC — [MASKED] (keysym=y) MANUAL-MASK
2025-10-29 12:59:45.415704  UTC — [MASKED] (keysym=8) MANUAL-MASK
2025-10-29 12:59:45.420749  UTC — [MASKED] (keysym=9) MANUAL-MASK
2025-10-29 12:59:45.592547  UTC — [MASKED] (keysym=6) MANUAL-MASK
2025-10-29 12:59:45.641602  UTC — [MASKED] (keysym=8) MANUAL-MASK
2025-10-29 12:59:45.682475  UTC — [MASKED] (keysym=6) MANUAL-MASK
2025-10-29 12:59:46.037506  UTC — [MASKED] (keysym=v) MANUAL-MASK
2025-10-29 12:59:46.103838  UTC — [MASKED] (keysym=k) MANUAL-MASK
2025-10-29 12:59:46.142400  UTC — [MASKED] (keysym=u) MANUAL-MASK
2025-10-29 12:59:46.161887  UTC — [MASKED] (keysym=space) MANUAL-MASK
2025-10-29 12:59:46.374854  UTC — [MASKED] (keysym=u) MANUAL-MASK
2025-10-29 12:59:46.389378  UTC — [MASKED] (keysym=space) MANUAL-MASK
2025-10-29 12:59:46.502080  UTC — [MASKED] (keysym=e) MANUAL-MASK
2025-10-29 12:59:46.625955  UTC — [MASKED] (keysym=4) MANUAL-MASK
2025-10-29 12:59:46.660188  UTC — [MASKED] (keysym=space) MANUAL-MASK
2025-10-29 12:59:46.833763  UTC — [MASKED] (keysym=i) MANUAL-MASK
2025-10-29 12:59:47.288900  UTC — Return (keysym=Return) 
2025-10-29 12:59:47.431923  UTC — Return (keysym=Return) 
2025-10-29 12:59:47.572672  UTC — Return (keysym=Return) 
2025-10-29 12:59:47.830862  UTC — [MASKED] (keysym=o) MANUAL-MASK
2025-10-29 12:59:47.910100  UTC — [MASKED] (keysym=h) MANUAL-MASK
2025-10-29 12:59:48.048736  UTC — [MASKED] (keysym=7) MANUAL-MASK
2025-10-29 12:59:48.153421  UTC — [MASKED] (keysym=y) MANUAL-MASK
2025-10-29 12:59:48.201969  UTC — [MASKED] (keysym=space) MANUAL-MASK
2025-10-29 12:59:48.492173  UTC — Return (keysym=Return) 
2025-10-29 12:59:48.696001  UTC — Return (keysym=Return) 
2025-10-29 12:59:49.043294  UTC — [MASKED] (keysym=g) MANUAL-MASK
2025-10-29 12:59:49.057846  UTC — [MASKED] (keysym=space) MANUAL-MASK
2025-10-29 12:59:49.128155  UTC — [MASKED] (keysym=i) MANUAL-MASK
2025-10-29 12:59:49.147248  UTC — [MASKED] (keysym=7) MANUAL-MASK
2025-10-29 12:59:49.256225  UTC — [MASKED] (keysym=y) MANUAL-MASK
2025-10-29 12:59:49.276244  UTC — [MASKED] (keysym=space) MANUAL-MASK
2025-10-29 12:59:53.927466  UTC —   (keysym=space) 
2025-10-29 12:59:54.110011  UTC — i (keysym=i) 
2025-10-29 12:59:54.214181  UTC — t (keysym=t) 
2025-10-29 12:59:54.318164  UTC — t (keysym=t) 
2025-10-29 12:59:54.347668  UTC — p (keysym=p) 
2025-10-29 12:59:54.501473  UTC — t (keysym=t) 
2025-10-29 12:59:54.799058  UTC — Return (keysym=Return) 
2025-10-29 12:59:55.239802  UTC —   (keysym=space) 
2025-10-29 12:59:55.259258  UTC — y (keysym=y) 
2025-10-29 12:59:55.495335  UTC — y (keysym=y) 
2025-10-29 12:59:55.544554  UTC —   (keysym=space) 
2025-10-29 12:59:55.625902  UTC — 8 (keysym=8) 
2025-10-29 12:59:55.732025  UTC — y (keysym=y) 
2025-10-29 12:59:56.014942  UTC — Return (keysym=Return) 
2025-10-29 12:59:56.397137  UTC — 7 (keysym=7) 
2025-10-29 12:59:56.655701  UTC — 6 (keysym=6) 
2025-10-29 12:59:56.765730  UTC — 5 (keysym=5) 
2025-10-29 12:59:56.905724  UTC — 6 (keysym=6) 
2025-10-29 12:59:57.156242  UTC — 7 (keysym=7) 
2025-10-29 12:59:57.163339  UTC — 6 (keysym=6) 
2025-10-29 12:59:57.280442  UTC — 5 (keysym=5) 
2025-10-29 12:59:57.406154  UTC — 7 (keysym=7) 
2025-10-29 12:59:57.412275  UTC — 6 (keysym=6) 
2025-10-29 12:59:57.600205  UTC —   (keysym=space) 
2025-10-29 12:59:57.743978  UTC — y (keysym=y) 
2025-10-29 12:59:57.857816  UTC — g (keysym=g) 
2025-10-29 12:59:57.932112  UTC — u (keysym=u) 
2025-10-29 12:59:57.965778  UTC — y (keysym=y) 
2025-10-29 12:59:58.353210  UTC — i (keysym=i) 
2025-10-29 12:59:58.399397  UTC — r (keysym=r) 
2025-10-29 12:59:58.420230  UTC — y (keysym=y) 
2025-10-29 12:59:58.465001  UTC — t (keysym=t) 
2025-10-29 12:59:58.504830  UTC — d (keysym=d) 
2025-10-29 12:59:58.831435  UTC — c (keysym=c) 
2025-10-29 12:59:58.906304  UTC — 8 (keysym=8) 
2025-10-29 12:59:58.982913  UTC — 5 (keysym=5) 
2025-10-29 12:59:59.147710  UTC — r (keysym=r) 
2025-10-29 12:59:59.702039  UTC — Return (keysym=Return) 
2025-10-29 13:00:03.433752  UTC — j (keysym=j) 
2025-10-29 13:00:03.487837  UTC — h (keysym=h) 
2025-10-29 13:00:03.707174  UTC — o (keysym=o) 
2025-10-29 13:00:03.820322  UTC —   (keysym=space) 
2025-10-29 13:00:03.933162  UTC — y (keysym=y) 
2025-10-29 13:00:04.086171  UTC — 8 (keysym=8) 
2025-10-29 13:00:04.201165  UTC — 8 (keysym=8) 
2025-10-29 13:00:04.228601  UTC — y (keysym=y) 
2025-10-29 13:00:04.266660  UTC —   (keysym=space) 
2025-10-29 13:00:04.421196  UTC —   (keysym=space) 
2025-10-29 13:00:04.612661  UTC — Return (keysym=Return) 
2025-10-29 13:00:05.070330  UTC — i (keysym=i) 
2025-10-29 13:00:05.154031  UTC — b (keysym=b) 
2025-10-29 13:00:05.159032  UTC — y (keysym=y) 
2025-10-29 13:00:05.287932  UTC — 8 (keysym=8) 
2025-10-29 13:00:05.366249  UTC — 7 (keysym=7) 
2025-10-29 13:00:05.524110  UTC — t (keysym=t) 
2025-10-29 13:00:05.624337  UTC — 7 (keysym=7) 
2025-10-29 13:00:05.629339  UTC — v (keysym=v) 
2025-10-29 13:00:05.740589  UTC — 5 (keysym=5) 
2025-10-29 13:00:05.771465  UTC — r (keysym=r) 
2025-10-29 13:00:05.880040  UTC — 6 (keysym=6) 
2025-10-29 13:00:06.004450  UTC — 3 (keysym=3) 
2025-10-29 13:00:06.045707  UTC — e (keysym=e) 
2025-10-29 13:00:06.132968  UTC — 5 (keysym=5) 
2025-10-29 13:00:06.268511  UTC — w (keysym=w) 
2025-10-29 13:00:06.425386  UTC — 4 (keysym=4) 
2025-10-29 13:00:06.430381  UTC — 3 (keysym=3) 
2025-10-29 13:00:06.552293  UTC — w (keysym=w) 
2025-10-29 13:00:06.660931  UTC — 5 (keysym=5) 
2025-10-29 13:00:06.691490  UTC — Alt_L (keysym=Alt_L) 
2025-10-29 13:00:06.847298  UTC — e (keysym=e) 
2025-10-29 13:00:06.930969  UTC — 6 (keysym=6) 
2025-10-29 13:00:07.004593  UTC — 5 (keysym=5) 
2025-10-29 13:00:07.009685  UTC — 4 (keysym=4) 
2025-10-29 13:00:07.103299  UTC —   (keysym=space) 
2025-10-29 13:00:07.106432  UTC — r (keysym=r) 
2025-10-29 13:00:07.109589  UTC — e (keysym=e) 
2025-10-29 13:00:07.211268  UTC — 7 (keysym=7) 
2025-10-29 13:00:07.218623  UTC — 6 (keysym=6) 
2025-10-29 13:00:07.394322  UTC —   (keysym=space) 
2025-10-29 13:00:07.459420  UTC — 7 (keysym=7) 
2025-10-29 13:00:07.657250  UTC —   (keysym=space) 
2025-10-29 13:00:07.796205  UTC — u (keysym=u) 
2025-10-29 13:00:07.914330  UTC — 8 (keysym=8) 
2025-10-29 13:00:08.045198  UTC — 7 (keysym=7) 
2025-10-29 13:00:08.052335  UTC — y (keysym=y) 
2025-10-29 13:00:08.203549  UTC — b (keysym=b) 
2025-10-29 13:00:08.209537  UTC —   (keysym=space) 
2025-10-29 13:00:08.279652  UTC — 6 (keysym=6) 
2025-10-29 13:00:08.447209  UTC —   (keysym=space) 
2025-10-29 13:00:08.665339  UTC — Return (keysym=Return) 
